.	0	2	18	25	27	28	30	31	32	33	34
.	0	15640015	33411964	39517915	47160229	50394228	54168046	61276204	97551793	272036394	445871923
.	1	2	18	25	27	28	30	31	32	33	34
.	1	15050823	34178105	39275346	45830409	49552089	53340853	62713356	91110257	242243115	445690533
.	2	2	18	25	27	28	30	31	32	33	34
.	2	14769982	33651650	38536275	44580395	48578107	52396705	62543157	88840441	229721271	445461838
.	3	2	15	25	27	28	30	31	32	33	34
.	3	14037976	33958364	38791169	44518907	48964861	52880716	64242036	90729527	230452340	448710201
.	4	2	15	25	27	28	30	31	32	33	34
.	4	13959499	32796698	37685835	43518763	47483989	51318478	61795287	89031315	231654704	448483802
.	5	2	14	15	16	24	26	27	28	29	30	31	32	33	34	35	36	37	38
.	5	14024137	18798224	20832988	31720570	31721749	36173359	37057032	39631654	43529303	45222126	48970470	49561542	54449701	60945149	66667601	76860043	91960290	407010665
.	6	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	6	14053151	18038906	19859674	31114383	31136816	31137425	35453780	36204269	38554116	42313776	44063409	47785760	48172540	52629756	58832929	64106777	73703942	89493249	400853330
.	7	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	7	14171006	18021349	20012785	31721738	31782025	31785245	36173658	36858496	39147529	42949752	44681494	48480839	48827101	53325252	59666492	65025015	74613861	89963475	400918240
.	8	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	8	14322994	17840244	19705403	32401000	32475573	32492598	36903346	37548481	39830098	43755653	45456559	49337748	49645112	53969354	60422364	65734822	75441776	91012267	400776789
.	9	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	9	14373738	17708233	19535588	32269107	32382669	32419630	36789450	37450615	39710152	43650620	45486235	49623456	49929184	54213340	60802645	66174455	75976470	91645829	400660847
.	10	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	10	14252119	17515037	19360867	31834026	31975440	32038773	36348160	37025987	39300478	43370545	44816631	48709935	49012197	53239935	59796839	65099428	75016510	90703119	400360384
