job_array	job_index	hrs	mins	secs	mem
commands_t4	2	0	1	28	1.117G
commands_t4	3	0	2	44	1.902G
commands_t4	4	0	1	4	1.405G
commands_t4	5	0	1	28	1.464G
commands_t4	6	0	2	52	1.922G
commands_t4	7	0	1	4	1.436G
commands_t4	8	0	0	51	13.191M
commands_t4	9	0	0	44	7.816M
commands_t4	10	0	1	25	1019.199M
commands_t4	11	0	2	41	1.897G
commands_t4	12	0	0	52	1.273G
commands_t4	13	0	1	28	1.445G
commands_t4	14	0	2	55	1.894G
commands_t4	15	0	1	8	1.480G
commands_t4	16	0	0	48	13.297M
commands_t4	17	0	0	43	7.754M
commands_t4	18	0	1	25	1.026G
commands_t4	19	0	2	42	1.884G
commands_t4	20	0	0	54	1.292G
commands_t4	21	0	1	29	1.500G
commands_t4	22	0	3	6	1.898G
commands_t4	23	0	1	16	1.680G
commands_t4	24	0	0	44	13.141M
commands_t4	25	0	0	55	7.746M
commands_t4	26	0	9	58	596.016M
commands_t4	27	0	13	3	2.573G
commands_t4	28	0	8	34	2.557G
commands_t4	29	0	5	51	10.766M
commands_t4	30	0	3	58	8.109M
commands_t4	31	0	1	54	2.052G
commands_t4	32	0	3	5	2.534G
commands_t4	33	0	2	18	1.555G
commands_t4	34	0	0	47	13.273M
commands_t4	35	0	1	4	8.086M
commands_t4	36	0	1	50	2.271G
commands_t4	37	0	3	30	2.578G
commands_t4	38	0	1	38	1.993G
commands_t4	39	0	1	1	13.344M
commands_t4	40	0	1	5	8.102M
