job_array	job_index	hrs	mins	secs	mem
commands_t8	2	0	1	54	528.039M
commands_t8	3	0	1	47	1.737G
commands_t8	4	0	0	34	526.512M
commands_t8	5	0	1	52	730.242M
commands_t8	6	0	1	50	1.915G
commands_t8	7	0	0	42	1.036G
commands_t8	8	0	0	44	13.258M
commands_t8	9	0	1	2	8.887M
commands_t8	10	0	1	55	551.211M
commands_t8	11	0	1	48	1.805G
commands_t8	12	0	0	46	931.598M
commands_t8	13	0	1	51	551.562M
commands_t8	14	0	1	46	1.855G
commands_t8	15	0	0	52	991.559M
commands_t8	16	0	0	46	13.242M
commands_t8	17	0	0	59	8.676M
commands_t8	18	0	1	53	533.000M
commands_t8	19	0	1	38	1.885G
commands_t8	20	0	0	47	448.102M
commands_t8	21	0	1	55	595.219M
commands_t8	22	0	1	46	1.951G
commands_t8	23	0	0	52	1.138G
commands_t8	24	0	0	42	13.219M
commands_t8	25	0	1	7	8.820M
commands_t8	26	0	5	15	1.154G
commands_t8	27	0	6	54	5.093G
commands_t8	28	0	5	26	1.191G
commands_t8	29	0	5	14	10.875M
commands_t8	30	0	4	15	9.258M
commands_t8	31	0	1	47	724.785M
commands_t8	32	0	1	54	2.250G
commands_t8	33	0	0	53	867.926M
commands_t8	34	0	0	52	13.430M
commands_t8	35	0	1	2	9.211M
commands_t8	36	0	1	43	809.168M
commands_t8	37	0	1	51	2.185G
commands_t8	38	0	0	57	791.605M
commands_t8	39	0	0	56	13.586M
commands_t8	40	0	0	59	9.223M
