.	0	2	18	25	27	28	30	31	32	33	34
.	0	7007103	26376170	33030846	41359955	44884584	48997545	56744494	96280073	286445139	475902803
.	1	2	18	25	27	28	30	31	32	33	34
.	1	6718114	27561993	33116692	40260046	44315732	48444522	58658170	89603580	254300011	476006025
.	2	2	18	25	27	28	30	31	32	33	34
.	2	6593507	27169149	32492000	39078370	43434738	47595923	58652667	87309221	240829221	475925024
.	3	2	15	25	27	28	30	31	32	33	34
.	3	5949291	27608039	32862581	39090153	43924085	48181658	60534429	89333361	241249140	478553360
.	4	2	15	25	27	28	30	31	32	33	34
.	4	5948873	26429600	31745309	38087155	42398342	46567387	57958288	87570633	242637777	478385007
.	5	2	14	15	16	24	26	27	28	29	30	31	32	33	34	35	36	37	38
.	5	5842630	11378681	13738202	26363488	26364855	31526961	32551671	35537214	40056944	42019949	46366545	47051954	52720283	60252432	66888211	78707409	96217720	461551454
.	6	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	6	5882229	10547588	12678812	25852543	25878801	25879514	30931843	31810297	34560812	38961526	41009486	45366528	45819258	51036466	58297333	64470415	75703977	94185492	458635064
.	7	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	7	5925096	10431939	12762924	26468303	26538869	26542638	31679293	32480900	35160222	39610740	41637751	46084901	46490203	51755307	59177755	65449929	76673714	94640501	458614368
.	8	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	8	6005088	10122020	12305184	27165350	27252637	27272565	32435335	33190464	35861091	40455943	42446850	46989772	47349541	52411056	59964288	66182508	77544474	95769697	458348322
.	9	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
.	9	6048409	9951465	12090399	26995096	27128022	27171284	32286198	33060097	35704905	40317258	42465862	47308515	47666372	52681015	60393854	66681606	78154951	96496074	458200881
.	10	2	14	15	16	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
